sender,tot_transactions,out_degree,in_degree,total_amount,max_amount,min_amount
KT1UMAE2PBskeQayP5f2ZbGiVYF7h8bZ2gyp,53736,1570,1892,1953345728958,17580096951,0
tz1VeaJWkdr2m5YaKFgeAafenhHhDcMxWfHC,35392,12776,5518,121088968113600,416723000000,10000
tz1iVUtqsSDxEYL9SAvbMdwm4FzSr3McWH6m,31648,255,3,57832977987,1000000000,2221
KT1PxkrCckgh5fA5v2cZEE2bX5q2RV1rv8dj,111350,3,2799,0,0,0
tz1bDXD6nNSrebqmAnnKKwnX1QdePSMCj4MX,103631,33384,35207,488733583748386,8000000000000,50000
KT1Cba383ZJpEearqnUyUKUMsgu5Z3TXBgeH,62376,13,1026,0,0,0
tz1Z7HGaayrL4XDNQ7UyXe7L4wXboELkhBm3,31883,448,12,53741295816,2397690000,1
tz1RD1wbX3sVgrVYRM341Cgr6h4eFb3ZUeWu,37257,76,32,724010535024,1186000000,0
KT1WvV2rPBQUFUqtCWmnnj8JX2gkmDtMBzQi,46952,2,11056,0,0,0
tz1Pm31zkj5tryYwhuqE7hhzYnULzrA5g5cf,64089,29402,34,18116783169705,113142900000,10000
KT1Ty2uAmF5JxWyeGrVpk17MEyzVB8cXs8aJ,48617,706,5,401163662514747,594549777910,0
KT1H67aLf6SUN1BysWfFLfjUEuN1M6E9qFwM,65470,1,11,0,0,0
KT1HGL8vx7DP4xETVikL4LUYvFxSV19DxdFN,42094,324,1225,44057416927,1137500000,0
KT1ApiKQtUATKKveCRYPpcFX1aq3L8pUyyLx,66934,15,17,0,0,0
tz1gFq1HYc21uUVarCkA6QMjPjqP86nTdoxg,34233,169,43,9965187813,111000000,0
KT1CjrJzk4S66uqv2M3DQHwBAzjD7MVm1jYs,87263,15,16,0,0,0
tz1acsihTQWHEnxxNz7EEsBDLMTztoZQE9SW,320111,3424,6,918059894526,2335102152,0
tz1TDShnpCSsLVJkBW29wNetEFFYeeNxMSVf,33558,2049,2,9117405745,76638284,0
tz1LtHRN6esYq7mAk82vu49PzPcSoj7H3Pjj,42551,112,49,947065468390,13850000000,0
tz1YrmJw6Lje27gWqZ94gU9mNavEjkHu1xGc,159820,2560,7,810186478539,2508516600,0
tz1imqR4V7ehxPeUrewsg6oy7tAPLsDBscTV,114392,77,10,12479912201,4000000000,0
tz1PBMghAEzmMvEN8xG7iPpFz1bmCAt5C3q2,142045,83506,5,103198527,63950000,1
tz1cezwuF9JpSykLhyk4Q8EuRy1zcW2UHnRG,57065,701,32,11556699839,300000000,0
tz1Xp9f1BTbkDbWjMj8xVJjgKpjm7MRuJPw4,104070,146,66,3280802289788,566918059,0
tz1Mzpyj3Ebut8oJ38uvzm9eaZQtSTryC3Kx,836833,836683,6,418646513000,130000000,1000
tz1bd5Pn5DxPinvCtkeJmoneyYiLeUebvUa5,39821,2827,8,22964979853,119162699,12
tz1NEgotHhj4fkm8AcwquQqQBrQsAMRUg86c,48345,3,2,1200000,1000000,0
tz1hodLFy8YDHtf1qJ3XH1gCyeXfwWEitkj9,69356,1144,12,33083117197,2200000000,1
KT1J3wTYb4xk5BsSBkg6ML55bX1xq7desS34,33015,3266,4044,818571988938,12135445333,0
KT1AbuUaPQmYLsB8n8FdSzBrxvrsm8ctwW1V,30653,11,509,0,0,0
KT1PuPNtDFLR6U7e7vDuxunDoKasVT6kMSkz,99621,13,1885,0,0,0
KT1NBgqqJacbdoeNAg9MvrgPT9h6q6AGWvFA,30691,1848,2,154929430614,3085346446,0
tz1SYq214SCBy9naR6cvycQsYcUGpBqQAE8d,155444,5692,6,1464470661273,208738663946,1
KT1DMCGGiHT2dgjjXHG7qh1C1maFchrLNphx,99142,2,637,0,0,0
KT19HdcBJw8XJkDYKLr6ez9KkhhuS8MYUdcs,65457,380,699,1047344969156,45537083873,0
tz1TFcKxNoztP8bDCAojAPsbAW5suVDkNx1p,83071,192,91,794752407471,2057222641,0
KT1WfbRVLuJUEizo6FSTFq5tsi3rsUHLY7vg,63708,3,451,0,0,0
tz1MRssJTFokjJ4WHAY63wFTufQ8qpxZJtvU,46512,8581,4159,174363943804575,234901000000,100000
tz1hjem5Rpf4KAVbwMLJet75TDb8HjAKnTYk,37099,10841,7925,70226089708414,3616996000000,0
KT1NkWx47WzJeHCSyB62WjLtFn4tRf3uXBur,65049,663,881,351391159250,1242972950,550
tz1M8U9MNBPt3gwogzvNqaF5L8tkwWgAFBUF,218523,2091,4,797673183833,1820421799,5
tz1TDSxFVDJhi2kttgM45PmhkpWRzfhqAozy,34403,2018,3,7305202860,63009469,0
KT1JQAZqShNMakSNXc2cgTzdAWZFemGcU6n1,97969,3,2113,20196750027,4656798317,0
tz1XWEi47p85eUwRZk2Xsp9VobSwUFq7GYKi,136133,3406,7,142778198540,4250000000,0
tz1UvGFB2vo79yF4KkDAZn3CrDUe9qirKebT,39339,59,13,1196810285,25000000,0
tz1RikjCkrEde1QQmuesp796jCxeiyE6t3Vo,35410,27,3,0,0,0
tz1LBEKXaxQbd5Gtzbc1ATCwc3pppu81aWGc,81213,3919,9,1556015467914,50000000000,0
KT1AbYeDbjjcAnV1QK7EZUUdqku77CdkTuv6,35802,1264,1664,1012234397749,31329715678,0
KT1DqhpvkfyBySVR4KV8Yu3K3jGSmLy7PTbr,71771,32,373,0,0,0
tz1c2yBQNrofzKvKLouC9TqHELSnh64fm8dn,30637,10121,3808,33771858721688,500000000000,110000
KT1FHiJmJUgZMPtv5F8M4ZEa6cb1D9Lf758T,35585,1324,1701,944599881960,12758004944,0
tz1YHWL72KHVVRGxPfEA2r1jtLtuCmjM4hgW,42039,272,114,213034281838,3500000000,0
KT1CAYNQGvYSF5UvHK21grMrKpe2563w9UcX,31219,659,652,788297700348,37028557190,0
KT1K8A8DLUTVuHaDBCZiG6AJdvKJbtH8dqmN,65173,785,979,806370199254,9315942782,0
KT1Wjadao8AXkwNQmjstbPGtLd1ZrUyQEDX7,51324,304,466,701966600724,12619086338,0
tz1NZEtFkr2guKjpWcTpf4wxZhRhfcqZSkAE,32504,479,48,25988452989,80000000,0
KT1D36ZG99YuhoCRZXLL86tQYAbv36bCq9XM,64156,11,1485,0,0,0
tz1LonSbajvsh48sEp35EHrYNAWi6hUXz1vX,261209,3898,2,1012753553412,3235000000,1
tz1cNARmnRRrvZgspPr2rSTUWq5xtGTuKuHY,396515,3157,10,2149148818792,121979270000,0
KT1QQvdg7TGZAH85HtgNvQuoekNRegvQPk8R,69476,15,107,0,0,0
KT1UefQz7nP8BuuDk5Dd5LWo22N1ZPB7JB5o,90464,42,119,0,0,0
tz1TDSi2iE2pAzvTAXKq6raSbDuPiShh5wgu,38521,2087,4,177997742600,1864082581,0
tz1XsWbqRewq6tZEgVQyXxeMDv3TkxT4JLks,46823,418,1,172369391445,718000000,1
KT1D9PA7tvuCe9XnDskd2F67XwdrT4ueqjGe,235039,2985,3692,723892890828,2678325121,0
KT1WGDVRnff4rmGzJUbdCRAJBmYt12BrPzdD,398556,2,13940,121243750000,400000000,25000
tz1ireAfmR8vzY3uVy2pbSBTQLadJftfr4Xk,48252,3,2,6400000,5300000,0
KT1JyCbTDUgoBcErvipCsye6tu45pjUViSr2,212361,1,4,0,0,0
KT1NRLjyE7wxeSZ6La6DfuhSKCAAnc9Lnvdg,77213,2,206,0,0,0
KT1Cq3pyv6QEXugsAC2iyXr7ecFqN7fJVTnA,45901,1225,1737,686303681506,22383802902,0
KT1AvxTNETj3U4b3wKYxkX6CKya1EgLZezv8,63109,3,5598,192265000000,15000000,0
tz1RppFXwXu1SFWE14NYhbroJ2uD4dXeqo7o,54378,7,6,51050000,50000000,0
tz1SiPXX4MYGNJNDsRc7n8hkvUqFzg8xqF9m,564937,245771,135433,1150952057668121,25750906000000,9000
tz1Z7eWGw18LqUgRqmDqNZFQx7f8GEHXRfT8,53237,30629,16267,203458906463189,1106359618007,2720
tz1TDS7BsNWczhiq1qGGfDxioY2d2WQxvahe,36801,2095,4,13833449119,126028489,0
KT1LLKbQe5rJ4yY7PuH2T9xTCbnWaFc7wHRs,31340,3,477,0,0,0
KT1ND1bkLahTzVUt93zbDtGugpWcL23gyqgQ,36136,175,289,269297837286,14409629336,0
KT1GUSLg3CUH2r8Ez5qx4evrJjJmBKuv7dRB,31037,4,473,10345000000,970000,0
tz1ggJg924JdWdww6oLGFksRgKctfrDMUNfE,138347,2246,9,458184319742,10000000000,8
tz1acb9QgYWqt13WUmkXSaaM2bXwZyQthcnT,36533,111,61,4667931040651,55000000000,0
tz2L9474hvA2EXyNLi4u3YnqrKVf3GzeZ8tb,59030,2,3,8102200000,8101200000,0
tz1WpH8peQDkYFhkuKw17KnrT4uWvAKKULwh,239512,3597,3,692411991862,4746000000,1
KT1BvWGFENd4CXW5F3u4n31xKfJhmBGipoqF,207641,1538,3898,117651344793,1020000000,0
KT1BJC12dG17CVvPKJ1VYaNnaT5mzfnUTwXv,1609787,2580,16763,3711685703028,950000000,0
tz1XwJTLycM7mfDNamzsh2y7TdsnNTwZiDAa,281851,3806,3,135114600129,256451796,50
KT1KRvNVubq64ttPbQarxec5XdS6ZQU4DVD2,40121,13,4890,0,0,0
tz1LnHsA2wpn7guf8b7xzX2i5zNKRQoRQVgJ,125593,70015,23443,128802089812488,901906067603,11870
KT1KY2x1XrWykYd2dbBNXfE6tVUU3eYNB4wo,205413,2022,3290,38516035943,1950000000,0
tz1PK5aqTegwKU46AL781A53ik4x2dKA5yr4,45790,16,17,2508148899,90000000,0
tz1dkUXrcScDxMTUkNuzTg5iBRHevn7KFBMW,438786,161,77,17660739991985,953111684,0
KT1Evsp2yA19Whm24khvFPcwimK6UaAJu8Zo,41287,1167,1490,1628208652869,12307475628,0
tz1Ziaxoio55wxE9UWpXnaMgRtSN3VBhgGTX,56299,430,140,553120513777,80000000000,0
tz1TyAEPtLt7oapQvZirVbswz1VRbdRqdfW7,40417,436,4,7018993369,600000000,0
tz1Yedv84Wuo26r5WveKWvL769qG68E5Gudk,37176,84,32,368488358991,200000000,0
tz1hfXvfcbbfcA77U8RXn7xLbRn3NHU4ksU1,32019,499,12,376336387871,160000000000,0
tz1XCVi5o7tH24K3waEcFxR9ZEKJiMMBR4tv,207466,151,71,6633164054852,677478450,0
KT1PnUZCp3u2KzWr93pn4DD7HAJnm3rWVrgn,108694,60,1482,0,0,0
KT1KgNVokovu4dSBFZXmFXgUni5TypwMBbRS,66274,19,86,0,0,0
tz2LKitkzuQko37bKETuXUSmFkgCfx1Huvmp,40372,11375,2730,155245695508467,732577929797,756000
tz1SohptP53wDPZhzTWzDUFAUcWF6DMBpaJV,53653,634,11,465249459094,102940380000,0
KT1TxqZ8QtKvLu3V3JH7Gx58n7Co8pgtpQU5,169780,1077,1860,40319171874161,104350368137,0
KT1NtsnKQ1c3rYB12ZToP77XaJs8WDBvF221,34637,11,1572,0,0,0
tz1Y2rhY9nBKfd2jp7m4z8iAMKKARWS3BvFA,212921,1875,5,193582657061,9500000000,0
KT19UPAURJUbvicpGUKpbcjM9KmfseFhtWn8,45458,24,6,0,0,0
tz1LsnEuv4fLsgxU9HJK21v8zHwcuBjb99Cd,242707,1861,4,696773336228,10000000000,0
tz1Y2ufHak4AcisVazSS1ymGgv4HAmFGagh5,33734,337,5,181558522069,232693062,9726
KT1QjeN8mDVWX4xpPVioGKBhBJFiMeT2pDof,77102,1,14,0,0,0
KT1GqCQqwzSDXBkCr8nFJ932JtcSugfVS2vL,34537,6,1943,0,0,0
tz1fishChEERnSesm8mHe7xsJJwymbHVLcYf,1195601,15356,3,2211354568918,4734626726,1
KT1P2BXYb894MekrCcSrnidzQYPVqitLoVLc,566313,1,4,316798269719,1875000000,1
tz1fRAiiDUxnXZwDmQghh1n6VytQUZWNPwWN,717576,10457,5,570082185713,2594000000,1
tz1VTcr81kqzeskt6DX9Jd1xTRahJtAttj1Z,38465,894,7,194038130967,425074306,1
KT1Dn3sambs7KZGW88hH2obZeSzfmCmGvpFo,176764,1337,3053,130992749959,900000000,0
tz1YjtCLzjw3bqPxJh6MqdVBFrM2zrsA9kyg,74426,465,177,123134431594,1764303059,0
KT1PwoZxyv4XkPEGnTqWYvjA1UYiPTgAGyqL,390189,112,1332,0,0,0
tz1Kf25fX1VdmYGSEzwFy1wNmkbSEZ2V83sY,92370,972,20,155632560061,6000000000,0
tz1dbfppLAAxXZNtf2SDps7rch3qfUznKSoK,178690,2027,17,140827155099,8950000000,14
tz1MQJPGNMijnXnVoBENFz9rUhaPt3S7rWoz,66048,654,16,245156286231,42952122960,0
tz1hD63wN8p9V8o5ARU7wA7RKAQvBAwkeTr7,36623,91,20,254990596369,102073650027,0
tz2FCNBrERXtaTtNX6iimR1UJ5JSDxvdHM93,32480,1243,19,2903561950626,405000000000,1
tz1XjkawXMmtKU5cwUxxMMYtvvph9J2sPMcm,44748,1542,3,8177776365,80815516,1
tz1hTJnYMKSDUv55yREM8ezmC5nsdbPUWao7,153531,1770,9,228738471228,211454308,1
KT198mqFKkiWerXLmMCw69YB1i6yzYtmGVrC,123290,3,8045,358770381909,4757025000,0
KT18p94vjkkHYY3nPmernmgVR7HdZFzE7NAk,311372,7735,14442,2455800,2455800,0
KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,2144876,36307,45642,10173230868981,32375000000,0
KT1DzGefKWdrwWn9HxcYtKR46todiC66bxsH,80695,1447,5,923708839672,80218340019,1
tz1bGsPjPqEscSKoFMDJ1dz6Nwcjrw9Yp5wU,60527,181,73,792306297964,1800000000,0
KT1LzyPS8rN375tC31WPAVHaQ4HyBvTSLwBu,67632,1649,2755,1749852948455,18263555956,0
KT1LXVbM8Lhf5HV3C5ebhQWp4H1rezMCfMKz,49065,365,4,1125077494511397,1346829137346,0
tz1R6mtcAQwBTK9YpSqRL9y2a6JZWgDkBm6M,71431,729,202,219687270228,1217528981,0
KT1MFfBe4EtzDofUcfeBmNShJPesY4HhfjMC,108911,3,13,0,0,0
tz1fpwzMJ9dqrj6dUGa1uTs7WxT2eoe15J6u,32179,25,21,47537935573990,9185019279,0
tz1ayi65xaHcyq8cewc1ztcv5SEDQFyhQZfd,38582,338,54,41355119344,1244000000,0
KT1AEVuykWeuuFX7QkEAMNtffzwhe1Z98hJS,806420,1192,9227,797659502939,97500000,0
KT1MRMsyWYCwf2ex2wN4yuihJbNykCDHdRTT,39059,232,285,1733511518206,113384819751,0
tz1a17ZmuN3yrnFHFyxyxovhVKuoP5YuCdr8,84362,121,52,1393949396558,2503000000,0
KT1HaDP8fRW7kavK2beST7o4RvzuvZbn5VwV,38351,10,563,0,0,0
tz1a6fbh6LwnvMo2LYFUtqNxGXoaMg63kfTh,59517,400,170,1970686539334,50000000000,0
tz1QSbd179w1Xp9WTaCwcBt4xxvBpZEtxbxJ,158739,33,10,1455419897,194815348,0
tz1g4o4a2wxpzJ7EgG3onFM5TLaPyiRFjFhL,124973,2176,10,924104472633,3000000000,1
KT1R6d6bqeSrkHPoxjsgkKtQEb4LpWS6SDXg,59779,386,282,1549395894666,4308261299,0
KT1VSjJxNq98AkPfVktpCv82hacrvgkb6hEu,39928,298,401,284865241493,3937468929,0
tz1NS1BF1kEz4EDNofXF7VGQ3aSXGYFz1v6a,126776,78555,3,104410053,47490000,1
KT1F5xwsUPtGoFYCNi5pU6txLwoLcSY76Trt,54380,1,1,0,0,0
KT1UNBvCJXiwJY6tmHM7CJUVwNPew53XkSfh,56722,12,1343,0,0,0
tz1iuZ76cLaaca8Dh4soYEHjYeVb5vHmmP5Z,120351,858,4,276607840600,4633000000,1
tz1NcoDFXMAfB26mpBhVrdSHmppyTeccT6Fi,54029,31331,17305,207181331640360,1106359618007,8
KT1PHubm9HtyQEJ4BBpMTVomq6mhbfNZ9z5w,843207,6507,18587,508516672079,4500000000,0
KT1H25LW5k4HQGm9hmNXzaxf3nqjsAEhQPah,30772,1848,3,154687787493,3085346446,0
KT1TR4qabnDU6aAUym6nauSGaRwJpoKU3efP,35441,1,3120,0,0,0
KT1LpGZnT6dj6STSxHXmvSPqx39ZdPXAMpFz,30776,1848,3,154929411856,3085346446,0
KT1BB3oNr5vUSw1CuPNb2zpYEVp376XrXWaJ,30746,1850,2,154650998096,3085346447,0
KT1PL1YciLdwMbydt21Ax85iZXXyGSrKT2BE,47306,952,1541,475997363971,12219964252,0
KT1FG63hhFtMEEEtmBSX2vuFmP87t9E7Ab4t,43026,1845,2621,1573487806838,20873059269,0
tz1TDSjPFStYcD8cr4JyWyyqwBt1M9WARvme,35037,2034,3,7984464031,63904596,0
tz1S1Aew75hMrPUymqenKfHo8FspppXKpW7h,38451,538,67,533247780257,30000000000,0
tz1TDSDUUe2Pc5UqR7ZKmyS5URaL6EdtEh1b,43670,2096,5,1699797082932,34000000000,0
tz2FqBRA1yPQLo4JXfMCT1dFWbFpFE4Tq3bm,39083,17933,2944,18417600732733,1000000000000,467
tz1TDSahjxEYPazcsrzxyX2gHqTzFvkcwUrP,37083,2064,4,18961475526,156942694,0
tz1Q8QkSBS63ZQnH3fBTiAMPes9R666Rn6Sc,96054,1164,27,220217794974,10244124000,0
tz1Zrqm4TkJwqTxm5TiyVFh6taXG4Wrq7tko,250504,3186,9,827089824836,65000000000,0
KT1WBLrLE2vG8SedBqiSJFm4VVAZZBytJYHc,30432,935,1363,491100991000,4979381221,0
tz1g6a2CVkkDbVb1JQMiQnSXjuPUkqNU8MYp,33042,78,40,2489606895411,10000000000,0
tz1TDSWesFo3EAzSUEyYJosdP9hRbDxk94Ua,37789,2106,3,101414864368,319907050,0
tz1LXaBkg3gZLVyB2awuboPAi6CnWxT4bCMt,63997,1037,5,97824594593,284439391,0
